"indeksi cen življenjskih potrebšèin po: ŽIVLJENJSKE POTREBŠÈINE, MESEC"
", INDEKS"

" ";"2015M01";" ";" ";" ";" ";" ";" ";" ";"2015M02";" ";" ";" ";" ";" ";" ";" ";"2015M03";" ";" ";" ";" ";" ";" ";" ";"2015M04";" ";" ";" ";" ";" ";" ";" ";"2015M05";" ";" ";" ";" ";" ";" ";" ";"2015M06";" ";" ";" ";" ";" ";" ";" ";"2015M07";" ";" ";" ";" ";" ";" ";" ";"2015M08";" ";" ";" ";" ";" ";" ";" ";"2015M09";" ";" ";" ";" ";" ";" ";" ";"2015M10";" ";" ";" ";" ";" ";" ";" "
" ";"Struktura (%)";"Tekoèi mesec / december prejšnjega leta";"Tekoèi mesec / prejšnji mesec";"Tekoèi mesec / isti mesec prejšnjega leta";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta";"Povpreèje mesecev tekoèega leta / december prejšnjega leta";"Tekoèi mesec / povpreèje leta 2005";"Povpreèna 12-meseèna rast";"Struktura (%)";"Tekoèi mesec / december prejšnjega leta";"Tekoèi mesec / prejšnji mesec";"Tekoèi mesec / isti mesec prejšnjega leta";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta";"Povpreèje mesecev tekoèega leta / december prejšnjega leta";"Tekoèi mesec / povpreèje leta 2005";"Povpreèna 12-meseèna rast";"Struktura (%)";"Tekoèi mesec / december prejšnjega leta";"Tekoèi mesec / prejšnji mesec";"Tekoèi mesec / isti mesec prejšnjega leta";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta";"Povpreèje mesecev tekoèega leta / december prejšnjega leta";"Tekoèi mesec / povpreèje leta 2005";"Povpreèna 12-meseèna rast";"Struktura (%)";"Tekoèi mesec / december prejšnjega leta";"Tekoèi mesec / prejšnji mesec";"Tekoèi mesec / isti mesec prejšnjega leta";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta";"Povpreèje mesecev tekoèega leta / december prejšnjega leta";"Tekoèi mesec / povpreèje leta 2005";"Povpreèna 12-meseèna rast";"Struktura (%)";"Tekoèi mesec / december prejšnjega leta";"Tekoèi mesec / prejšnji mesec";"Tekoèi mesec / isti mesec prejšnjega leta";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta";"Povpreèje mesecev tekoèega leta / december prejšnjega leta";"Tekoèi mesec / povpreèje leta 2005";"Povpreèna 12-meseèna rast";"Struktura (%)";"Tekoèi mesec / december prejšnjega leta";"Tekoèi mesec / prejšnji mesec";"Tekoèi mesec / isti mesec prejšnjega leta";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta";"Povpreèje mesecev tekoèega leta / december prejšnjega leta";"Tekoèi mesec / povpreèje leta 2005";"Povpreèna 12-meseèna rast";"Struktura (%)";"Tekoèi mesec / december prejšnjega leta";"Tekoèi mesec / prejšnji mesec";"Tekoèi mesec / isti mesec prejšnjega leta";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta";"Povpreèje mesecev tekoèega leta / december prejšnjega leta";"Tekoèi mesec / povpreèje leta 2005";"Povpreèna 12-meseèna rast";"Struktura (%)";"Tekoèi mesec / december prejšnjega leta";"Tekoèi mesec / prejšnji mesec";"Tekoèi mesec / isti mesec prejšnjega leta";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta";"Povpreèje mesecev tekoèega leta / december prejšnjega leta";"Tekoèi mesec / povpreèje leta 2005";"Povpreèna 12-meseèna rast";"Struktura (%)";"Tekoèi mesec / december prejšnjega leta";"Tekoèi mesec / prejšnji mesec";"Tekoèi mesec / isti mesec prejšnjega leta";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta";"Povpreèje mesecev tekoèega leta / december prejšnjega leta";"Tekoèi mesec / povpreèje leta 2005";"Povpreèna 12-meseèna rast";"Struktura (%)";"Tekoèi mesec / december prejšnjega leta";"Tekoèi mesec / prejšnji mesec";"Tekoèi mesec / isti mesec prejšnjega leta";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta";"Povpreèje mesecev tekoèega leta / december prejšnjega leta";"Tekoèi mesec / povpreèje leta 2005";"Povpreèna 12-meseèna rast"
"SKUPAJ";100.0;98.7;98.7;99.5;99.5;98.7;120.75;100.1;100.0;98.9;100.2;99.6;99.6;98.8;121.02;100.1;100.0;99.8;100.9;99.7;99.6;99.2;122.10;100.0;100.0;99.9;100.1;99.3;99.5;99.3;122.20;99.9;100.0;100.7;100.8;99.5;99.5;99.6;123.14;99.8;100.0;100.6;99.9;99.3;99.5;99.8;123.05;99.7;100.0;99.8;99.2;99.6;99.5;99.8;122.04;99.6;100.0;99.9;100.1;99.7;99.5;99.8;122.19;99.6;100.0;99.8;99.9;99.4;99.5;99.8;122.10;99.6;100.0;99.9;100.0;99.2;99.5;99.8;122.13;99.6
"01 Hrana in brezalkoholne pijaèe";17.0;101.3;101.3;98.7;98.7;101.3;138.31;99.4;17.0;101.4;100.1;99.7;99.2;101.4;138.49;99.3;17.0;101.8;100.4;100.7;99.7;101.5;138.98;99.3;17.0;102.3;100.5;100.8;100.0;101.7;139.71;99.4;17.0;104.0;101.6;101.3;100.2;102.2;141.98;99.6;17.0;103.1;99.1;101.2;100.4;102.3;140.70;99.8;17.0;102.4;99.4;101.4;100.5;102.3;139.85;100.0;17.0;102.1;99.7;101.8;100.7;102.3;139.40;100.3;17.0;102.3;100.2;101.2;100.7;102.3;139.72;100.4;17.0;101.6;99.3;101.1;100.8;102.2;138.75;100.5
"011 Hrana";15.4;101.4;101.4;98.8;98.8;101.4;139.68;99.6;15.4;101.4;100.1;99.7;99.2;101.4;139.77;99.5;15.4;101.9;100.5;100.7;99.7;101.6;140.46;99.5;15.4;102.4;100.5;100.8;100.0;101.8;141.12;99.5;15.4;104.3;101.8;101.3;100.2;102.3;143.70;99.7;15.4;103.2;98.9;101.2;100.4;102.4;142.17;99.9;15.4;102.4;99.3;101.4;100.5;102.4;141.12;100.1;15.4;102.0;99.6;101.8;100.7;102.4;140.58;100.3;15.4;102.3;100.3;101.1;100.7;102.4;140.97;100.4;15.4;101.6;99.3;101.0;100.8;102.3;140.00;100.5
"0111 Kruh in drugi izdelki iz žit";2.9;100.8;100.8;99.0;99.0;100.8;133.61;100.1;2.9;98.9;98.1;98.1;98.5;99.8;131.11;99.8;2.9;100.9;102.1;99.9;99.0;100.2;133.85;99.7;2.9;99.7;98.7;99.1;99.0;100.1;132.16;99.6;2.9;100.1;100.4;99.0;99.0;100.1;132.72;99.4;2.9;99.8;99.7;98.7;99.0;100.0;132.36;99.3;2.9;100.0;100.1;98.7;98.9;100.0;132.56;99.1;2.9;100.5;100.6;99.2;99.0;100.1;133.31;99.1;2.9;100.5;100.0;99.7;99.1;100.1;133.32;99.1;2.9;100.3;99.8;99.9;99.1;100.2;133.04;99.2
"0112 Meso";3.7;99.8;99.8;98.9;98.9;99.8;128.24;100.1;3.7;99.2;99.4;97.9;98.4;99.5;127.52;99.8;3.7;99.3;100.0;98.8;98.5;99.4;127.53;99.6;3.7;99.2;99.9;99.1;98.7;99.4;127.42;99.5;3.7;99.0;99.9;98.7;98.7;99.3;127.24;99.3;3.7;99.1;100.1;98.7;98.7;99.3;127.39;99.2;3.7;100.5;101.3;100.4;98.9;99.4;129.09;99.2;3.7;100.1;99.6;99.9;99.0;99.5;128.59;99.3;3.7;100.2;100.1;100.1;99.2;99.6;128.78;99.3;3.7;99.5;99.3;100.0;99.2;99.6;127.87;99.4
"0113 Ribe";0.4;102.2;102.2;99.8;99.8;102.2;144.80;98.7;0.4;101.5;99.2;98.0;98.9;101.9;143.69;98.4;0.4;101.6;100.2;100.3;99.4;101.8;143.91;98.5;0.4;101.4;99.8;99.7;99.4;101.7;143.55;98.5;0.4;103.1;101.7;100.4;99.6;102.0;146.05;98.5;0.4;102.9;99.8;101.4;99.9;102.1;145.69;98.7;0.4;101.5;98.7;100.2;99.9;102.0;143.77;98.9;0.4;103.0;101.5;102.5;100.3;102.2;145.87;99.2;0.4;103.6;100.6;103.8;100.6;102.3;146.78;99.8;0.4;102.1;98.5;103.7;100.9;102.3;144.62;100.5
"0114 Mleko, mleèni izdelki in jajca";2.8;99.6;99.6;98.9;98.9;99.6;152.91;102.5;2.8;99.2;99.6;99.6;99.2;99.4;152.32;102.1;2.8;99.3;100.1;99.5;99.3;99.4;152.51;101.8;2.8;99.2;99.9;99.5;99.4;99.3;152.33;101.4;2.8;98.9;99.7;98.4;99.2;99.2;151.84;101.0;2.8;99.7;100.9;99.1;99.2;99.3;153.14;100.5;2.8;99.0;99.3;98.6;99.1;99.3;152.08;100.1;2.8;99.3;100.3;99.0;99.1;99.3;152.46;99.7;2.8;99.4;100.1;99.1;99.1;99.3;152.65;99.5;2.8;98.9;99.5;99.1;99.1;99.3;151.92;99.3
"0115 Olje in mašèoba";0.6;101.6;101.6;100.3;100.3;101.6;162.79;100.3;0.6;100.0;98.4;98.8;99.5;100.8;160.20;100.1;0.6;102.6;102.6;101.0;100.0;101.4;164.41;100.1;0.6;101.0;98.4;100.0;100.0;101.3;161.83;100.0;0.6;102.2;101.2;101.1;100.2;101.5;163.78;100.0;0.6;101.7;99.5;100.1;100.2;101.5;163.03;100.0;0.6;101.7;100.0;99.7;100.1;101.5;163.01;99.8;0.6;102.4;100.7;101.2;100.3;101.6;164.15;99.9;0.6;102.7;100.3;101.4;100.4;101.8;164.63;100.1;0.6;101.6;98.9;101.2;100.5;101.7;162.87;100.3
"0116 Sadje, sveže in predelano";1.4;101.8;101.8;103.3;103.3;101.8;145.39;100.6;1.4;101.9;100.2;105.5;104.4;101.9;145.65;101.2;1.4;105.5;103.5;108.4;105.7;103.1;150.69;101.6;1.4;116.1;110.1;106.6;105.9;106.3;165.85;101.8;1.4;137.1;118.1;114.4;107.9;112.5;195.84;103.5;1.4;123.8;90.3;113.4;108.8;114.4;176.81;105.0;1.4;118.2;95.5;112.7;109.4;114.9;168.91;106.4;1.4;116.6;98.7;112.5;109.8;115.1;166.65;107.9;1.4;117.0;100.3;106.4;109.4;115.3;167.18;108.0;1.4;112.4;96.1;105.4;109.0;115.0;160.64;108.2
