"01 Hrana in brezalkoholne pijaèe";101.3;98.7;98.7;99.4;100.1;99.7;99.2;99.3;100.4;100.7;99.7;99.3;100.5;100.8;100.0;99.4;101.6;101.3;100.2;99.6;99.1;101.2;100.4;99.8;99.4;101.4;100.5;100.0;99.7;101.8;100.7;100.3;100.2;101.2;100.7;100.4;99.3;101.1;100.8;100.5;99.9;101.0;100.8;100.6
"011 Hrana";101.4;98.8;98.8;99.6;100.1;99.7;99.2;99.5;100.5;100.7;99.7;99.5;100.5;100.8;100.0;99.5;101.8;101.3;100.2;99.7;98.9;101.2;100.4;99.9;99.3;101.4;100.5;100.1;99.6;101.8;100.7;100.3;100.3;101.1;100.7;100.4;99.3;101.0;100.8;100.5;99.9;101.0;100.8;100.6
"0111 Kruh in drugi izdelki iz žit";100.8;99.0;99.0;100.1;98.1;98.1;98.5;99.8;102.1;99.9;99.0;99.7;98.7;99.1;99.0;99.6;100.4;99.0;99.0;99.4;99.7;98.7;99.0;99.3;100.1;98.7;98.9;99.1;100.6;99.2;99.0;99.1;100.0;99.7;99.1;99.1;99.8;99.9;99.1;99.2;100.4;100.2;99.2;99.2
"0112 Meso";99.8;98.9;98.9;100.1;99.4;97.9;98.4;99.8;100.0;98.8;98.5;99.6;99.9;99.1;98.7;99.5;99.9;98.7;98.7;99.3;100.1;98.7;98.7;99.2;101.3;100.4;98.9;99.2;99.6;99.9;99.0;99.3;100.1;100.1;99.2;99.3;99.3;100.0;99.2;99.4;100.1;99.1;99.2;99.3
"0113 Ribe";102.2;99.8;99.8;98.7;99.2;98.0;98.9;98.4;100.2;100.3;99.4;98.5;99.8;99.7;99.4;98.5;101.7;100.4;99.6;98.5;99.8;101.4;99.9;98.7;98.7;100.2;99.9;98.9;101.5;102.5;100.3;99.2;100.6;103.8;100.6;99.8;98.5;103.7;100.9;100.5;100.5;103.2;101.1;100.9
"0114 Mleko, mleèni izdelki in jajca";99.6;98.9;98.9;102.5;99.6;99.6;99.2;102.1;100.1;99.5;99.3;101.8;99.9;99.5;99.4;101.4;99.7;98.4;99.2;101.0;100.9;99.1;99.2;100.5;99.3;98.6;99.1;100.1;100.3;99.0;99.1;99.7;100.1;99.1;99.1;99.5;99.5;99.1;99.1;99.3;100.4;98.9;99.1;99.1
"0115 Olje in mašèoba";101.6;100.3;100.3;100.3;98.4;98.8;99.5;100.1;102.6;101.0;100.0;100.1;98.4;100.0;100.0;100.0;101.2;101.1;100.2;100.0;99.5;100.1;100.2;100.0;100.0;99.7;100.1;99.8;100.7;101.2;100.3;99.9;100.3;101.4;100.4;100.1;98.9;101.2;100.5;100.3;101.1;102.3;100.6;100.6
"0116 Sadje, sveže in predelano";101.8;103.3;103.3;100.6;100.2;105.5;104.4;101.2;103.5;108.4;105.7;101.6;110.1;106.6;105.9;101.8;118.1;114.4;107.9;103.5;90.3;113.4;108.8;105.0;95.5;112.7;109.4;106.4;98.7;112.5;109.8;107.9;100.3;106.4;109.4;108.0;96.1;105.4;109.0;108.2;95.5;106.6;108.8;108.6
"0117 Zelenjava, sveža in predelana";110.5;92.0;92.0;91.9;106.6;101.9;96.9;92.3;96.7;102.1;98.6;92.9;98.8;104.5;100.0;94.1;99.4;104.3;100.8;95.6;98.7;103.2;101.2;97.0;95.4;103.2;101.4;98.5;95.4;104.4;101.8;99.5;102.2;102.0;101.8;100.1;100.2;101.2;101.7;100.3;101.2;102.9;101.8;100.8
"0118 Sladkor in konditorski izdelki";101.0;99.9;99.9;99.4;100.4;100.9;100.4;99.4;100.1;100.8;100.5;99.5;99.8;101.4;100.7;99.6;99.4;100.7;100.7;99.7;101.5;102.1;101.0;99.9;100.1;102.8;101.2;100.3;100.4;103.6;101.5;100.7;99.7;102.9;101.7;101.1;100.6;103.4;101.8;101.5;99.8;102.7;101.9;101.7
"0119 Drugi prehrambeni izdelki";100.5;99.3;99.3;98.8;99.7;98.7;99.0;98.6;100.2;101.2;99.7;98.7;99.8;100.8;100.0;98.9;99.8;100.4;100.1;99.0;99.6;100.4;100.1;99.1;100.3;100.7;100.2;99.3;100.5;101.5;100.4;99.7;99.7;100.5;100.4;99.9;100.4;100.8;100.4;100.1;100.8;101.6;100.5;100.4
"012 Brezalkoholne pijaèe";100.8;98.6;98.6;98.1;100.7;99.7;99.1;98.0;99.0;100.5;99.6;98.3;101.0;100.9;99.9;98.4;99.7;101.0;100.1;98.7;100.7;101.3;100.3;98.9;100.6;101.8;100.5;99.2;100.2;102.4;100.8;99.6;99.8;102.2;100.9;100.0;99.2;102.2;101.0;100.5;100.4;101.0;101.0;100.7
"0121 Kava, èaj in kakav";100.2;99.1;99.1;98.9;101.8;101.2;100.1;99.0;99.0;100.5;100.3;99.0;100.7;101.8;100.7;99.2;98.9;101.0;100.7;99.4;101.7;102.6;101.0;99.7;100.7;103.0;101.3;100.0;100.2;103.8;101.6;100.5;100.4;104.0;101.9;100.9;100.0;105.3;102.2;101.6;99.8;102.8;102.3;101.9
"0122 Gazirane in negazirane pijaèe";101.1;98.2;98.2;97.6;100.1;98.7;98.5;97.5;99.1;100.4;99.1;97.8;101.3;100.3;99.4;98.0;100.2;101.0;99.7;98.3;100.1;100.5;99.8;98.5;100.6;101.0;100.0;98.7;100.2;101.5;100.2;99.1;99.5;101.0;100.3;99.4;98.8;100.3;100.3;99.8;100.8;99.8;100.2;99.9
"02 Alkoholne pijaèe in tobak";100.3;104.1;104.1;103.7;100.1;104.2;104.1;103.8;99.9;104.2;104.2;104.0;99.8;104.1;104.1;104.1;100.1;101.8;103.7;103.8;99.9;100.6;103.1;103.4;100.1;101.1;102.9;103.2;100.2;101.0;102.6;103.0;100.0;100.9;102.4;102.7;99.9;100.7;102.2;102.5;100.1;100.9;102.1;102.3
"021 Alkoholne pijaèe";100.7;101.0;101.0;101.6;100.2;101.3;101.2;101.5;99.8;101.4;101.3;101.5;99.6;101.0;101.2;101.5;100.3;99.8;100.9;101.2;99.8;100.1;100.8;101.0;100.3;101.4;100.9;101.0;100.5;101.0;100.9;101.0;100.0;100.7;100.9;100.9;99.8;100.2;100.8;100.8;100.3;100.7;100.8;100.8
"0211 Žgane pijaèe";101.6;105.7;105.7;104.6;99.7;105.4;105.5;104.9;99.9;105.9;105.6;105.2;100.2;105.1;105.5;105.5;100.2;100.7;104.5;105.0;100.0;100.4;103.8;104.4;99.9;100.4;103.3;103.9;98.8;99.3;102.8;103.4;99.9;99.1;102.4;102.9;100.2;99.5;102.1;102.4;99.3;99.1;101.8;102.0
"0212 Vino";101.2;99.6;99.6;101.1;100.4;99.9;99.7;100.8;100.0;99.9;99.8;100.5;99.2;100.3;99.9;100.3;100.7;100.4;100.0;100.2;100.4;101.4;100.3;100.1;100.1;102.8;100.6;100.4;100.7;103.1;100.9;100.8;99.7;102.1;101.1;100.9;99.3;100.5;101.0;100.8;100.8;101.5;101.0;101.0
"0213 Pivo";100.2;101.0;101.0;101.3;100.1;101.4;101.2;101.3;99.6;101.5;101.3;101.4;99.7;100.6;101.1;101.4;100.1;99.2;100.7;101.1;99.4;99.0;100.4;100.9;100.6;100.6;100.5;100.8;100.7;100.0;100.4;100.7;100.2;100.2;100.4;100.5;100.1;100.2;100.4;100.4;100.2;100.4;100.4;100.4
"022 Tobaèni izdelki";100.0;105.8;105.8;104.9;100.0;105.8;105.8;105.1;100.0;105.8;105.8;105.4;100.0;105.8;105.8;105.6;100.0;102.9;105.2;105.3;100.0;100.9;104.5;104.7;100.0;100.9;104.0;104.4;100.0;100.9;103.6;104.1;100.0;100.9;103.3;103.7;100.0;100.9;103.0;103.4;100.0;100.9;102.8;103.1
"03 Obleka in obutev";86.9;101.4;101.4;99.3;100.9;99.4;100.4;99.5;109.1;96.9;99.1;99.1;104.1;97.6;98.7;98.9;101.9;98.3;98.6;98.9;99.1;98.8;98.7;98.9;85.4;100.0;98.8;98.9;100.9;99.3;98.9;98.7;110.8;99.6;99.0;98.8;105.2;98.0;98.9;98.8;103.4;100.1;99.0;99.0
