"januar 2015 / december 2014";"januar 2015 / januar 2014";"povprečje (januar) 2015 / povprečje (januar) 2014";"povprečna 12-mesečna rast";"februar 2015 / januar 2015";"februar 2015 / februar 2014";"povprečje (januar, februar) 2015 / povprečje (januar, februar) 2014";"povprečna 12-mesečna rast";"marec 2015 / februar 2015";"marec 2015 / marec 2014";"povprečje (januar-marec) 2015 / povprečje (januar-marec) 2014";"povprečna 12-mesečna rast";"april 2015 / marec 2015";"april 2015 / april 2014";"povprečje (januar-april) 2015 / povprečje (januar-april) 2014";"povprečna 12-mesečna rast";"maj 2015 / april 2015";"maj 2015 / maj 2014";"povprečje (januar-maj) 2015 / povprečje (januar-maj) 2014";"povprečna 12-mesečna rast";"junij 2015 / maj 2015";"junij 2015 / junij 2014";"povprečje (januar-junij) 2015 / povprečje (januar-junij) 2014";"povprečna 12-mesečna rast";"julij 2015 / junij 2015";"julij 2015 / julij 2014";"povprečje (januar-julij) 2015 / povprečje (januar-julij) 2014";"povprečna 12-mesečna rast";"avgust 2015 / julij 2015";"avgust 2015 / avgust 2014";"povprečje (januar-avgust) 2015 / povprečje (januar-avgust) 2014";"povprečna 12-mesečna rast";"september 2015 / avgust 2015";"september 2015 / september 2014";"povprečje (januar-september) 2015 / povprečje (januar-september) 2014";"povprečna 12-mesečna rast";"oktober 2015 / september 2015";"oktober 2015 / oktober 2014";"povprečje (januar-oktober) 2015 / povprečje (januar-oktober) 2014";"povprečna 12-mesečna rast";"november 2015 / oktober 2015";"november 2015 / oktober 2014";"povprečje (januar-november) 2015 / povprečje (januar-november) 2014";"povprečna 12-mesečna rast"
101,4;98,8;98,8;99,6;100,1;99,7;99,2;99,5;100,5;100,7;99,7;99,5;100,5;100,8;100;99,5;101,8;101,3;100,2;99,7;98,9;101,2;100,4;99,9;99,3;101,4;100,5;100,1;99,6;101,8;100,7;100,3;100,3;101,1;100,7;100,4;99,3;101;100,8;100,5;99,9;101;100,8;100,6
100,8;99;99;100,1;98,1;98,1;98,5;99,8;102,1;99,9;99;99,7;98,7;99,1;99;99,6;100,4;99;99;99,4;99,7;98,7;99;99,3;100,1;98,7;98,9;99,1;100,6;99,2;99;99,1;100;99,7;99,1;99,1;99,8;99,9;99,1;99,2;100,4;100,2;99,2;99,2
99,8;98,9;98,9;100,1;99,4;97,9;98,4;99,8;100;98,8;98,5;99,6;99,9;99,1;98,7;99,5;99,9;98,7;98,7;99,3;100,1;98,7;98,7;99,2;101,3;100,4;98,9;99,2;99,6;99,9;99;99,3;100,1;100,1;99,2;99,3;99,3;100;99,2;99,4;100,1;99,1;99,2;99,3
102,2;99,8;99,8;98,7;99,2;98;98,9;98,4;100,2;100,3;99,4;98,5;99,8;99,7;99,4;98,5;101,7;100,4;99,6;98,5;99,8;101,4;99,9;98,7;98,7;100,2;99,9;98,9;101,5;102,5;100,3;99,2;100,6;103,8;100,6;99,8;98,5;103,7;100,9;100,5;100,5;103,2;101,1;100,9
99,6;98,9;98,9;102,5;99,6;99,6;99,2;102,1;100,1;99,5;99,3;101,8;99,9;99,5;99,4;101,4;99,7;98,4;99,2;101;100,9;99,1;99,2;100,5;99,3;98,6;99,1;100,1;100,3;99;99,1;99,7;100,1;99,1;99,1;99,5;99,5;99,1;99,1;99,3;100,4;98,9;99,1;99,1
101,6;100,3;100,3;100,3;98,4;98,8;99,5;100,1;102,6;101;100;100,1;98,4;100;100;100;101,2;101,1;100,2;100;99,5;100,1;100,2;100;100;99,7;100,1;99,8;100,7;101,2;100,3;99,9;100,3;101,4;100,4;100,1;98,9;101,2;100,5;100,3;101,1;102,3;100,6;100,6
101,8;103,3;103,3;100,6;100,2;105,5;104,4;101,2;103,5;108,4;105,7;101,6;110,1;106,6;105,9;101,8;118,1;114,4;107,9;103,5;90,3;113,4;108,8;105;95,5;112,7;109,4;106,4;98,7;112,5;109,8;107,9;100,3;106,4;109,4;108;96,1;105,4;109;108,2;95,5;106,6;108,8;108,6
110,5;92;92;91,9;106,6;101,9;96,9;92,3;96,7;102,1;98,6;92,9;98,8;104,5;100;94,1;99,4;104,3;100,8;95,6;98,7;103,2;101,2;97;95,4;103,2;101,4;98,5;95,4;104,4;101,8;99,5;102,2;102;101,8;100,1;100,2;101,2;101,7;100,3;101,2;102,9;101,8;100,8
101;99,9;99,9;99,4;100,4;100,9;100,4;99,4;100,1;100,8;100,5;99,5;99,8;101,4;100,7;99,6;99,4;100,7;100,7;99,7;101,5;102,1;101;99,9;100,1;102,8;101,2;100,3;100,4;103,6;101,5;100,7;99,7;102,9;101,7;101,1;100,6;103,4;101,8;101,5;99,8;102,7;101,9;101,7
100,5;99,3;99,3;98,8;99,7;98,7;99;98,6;100,2;101,2;99,7;98,7;99,8;100,8;100;98,9;99,8;100,4;100,1;99;99,6;100,4;100,1;99,1;100,3;100,7;100,2;99,3;100,5;101,5;100,4;99,7;99,7;100,5;100,4;99,9;100,4;100,8;100,4;100,1;100,8;101,6;100,5;100,4
