"";"Consumer Price Index";"Rent Index";"Consumer Price Plus Rent Index";"Groceries Index";"Restaurant Price Index";"Local Purchasing Power Index"
"Switzerland";"124.51";"54.53";"88.82";"114.81";"137.82";"210.00"
"Norway";"109.30";"40.41";"74.17";"95.90";"136.81";"139.78"
"Iceland";"95.41";"29.04";"61.57";"88.13";"113.07";"111.09"
"Denmark";"88.31";"26.33";"56.70";"71.67";"112.78";"164.26"
"United Kingdom";"86.68";"33.50";"59.56";"75.10";"96.69";"133.64"
"Luxembourg";"80.81";"50.91";"65.56";"65.30";"104.96";"153.61"
"Ireland";"79.71";"32.62";"55.70";"69.99";"86.08";"137.60"
"Finland";"76.89";"23.48";"49.65";"65.61";"86.25";"149.42"
"Belgium";"76.71";"34.06";"54.96";"65.43";"92.35";"115.19"
"France";"75.85";"24.11";"49.47";"68.55";"84.76";"132.55"
"Netherlands";"74.43";"28.00";"50.75";"54.89";"92.68";"150.57"
"Sweden";"73.86";"22.95";"47.90";"65.71";"81.61";"156.16"
"Italy";"72.38";"20.10";"45.72";"58.34";"86.84";"112.63"
"Austria";"68.14";"25.30";"46.30";"62.28";"67.86";"135.34"
"Germany";"65.96";"21.20";"43.14";"51.08";"67.54";"160.12"
"Malta";"61.79";"17.05";"38.98";"50.25";"72.00";"100.05"
"Greece";"58.92";"9.27";"33.60";"46.81";"63.86";"83.15"
"Spain";"56.55";"16.10";"35.92";"43.89";"65.94";"114.82"
"Slovenia";"55.60";"13.70";"34.24";"45.01";"49.18";"94.62"
"Estonia";"52.49";"12.31";"32.00";"38.95";"48.37";"80.00"
"Portugal";"50.55";"14.08";"31.96";"38.66";"47.75";"87.27"
"Croatia";"49.82";"8.66";"28.83";"41.82";"41.30";"71.44"
"Latvia";"48.71";"11.79";"29.88";"36.67";"43.21";"68.59"
"Belarus";"46.26";"13.07";"29.34";"37.28";"61.95";"41.64"
"Lithuania";"46.09";"11.45";"28.42";"36.08";"36.97";"64.38"
"Slovakia";"45.13";"13.27";"28.88";"39.36";"35.71";"77.09"
"Russia";"44.27";"19.59";"31.69";"35.09";"54.17";"62.05"
"Czech Republic";"42.69";"12.64";"27.37";"35.85";"31.43";"98.81"
"Hungary";"41.75";"7.92";"24.50";"31.34";"35.33";"66.35"
"Montenegro";"40.36";"7.87";"23.79";"30.75";"41.39";"59.74"
"Poland";"39.62";"11.75";"25.41";"29.89";"36.54";"90.97"
"Romania";"36.86";"7.87";"22.08";"30.20";"33.96";"61.17"
"Bosnia And Herzegovina";"36.24";"5.89";"20.76";"30.51";"26.68";"64.94"
"Bulgaria";"36.13";"6.92";"21.23";"30.26";"30.05";"58.73"
"Serbia";"35.42";"5.93";"20.38";"27.17";"30.18";"55.93"
"Albania";"33.86";"6.19";"19.75";"26.44";"28.89";"46.01"
"Macedonia";"31.66";"5.18";"18.15";"26.00";"24.32";"50.06"
"Ukraine";"30.75";"8.39";"19.34";"23.66";"27.60";"32.72"
"Kosovo (Disputed Territory)";"30.35";"8.65";"19.29";"25.02";"24.57";"64.60"
"Moldova";"27.43";"6.44";"16.73";"21.64";"24.52";"32.75"
